Benchmarks,CPI,L1d_miss_rate,L1i_miss_rate,L2_miss_rate,L1i_size_kB,L1i_assoc,L1d_size_kB,L1d_assoc,L2_size_MB,L2_assoc,L1i_size_cost,L1d_size_cost,L2_size_cost,L1i_assoc_cost,L2_assoc_cost,M_cache,A_cache,Performance,Cost
specsjeng_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc8_line_cpu1GHz_new_256cacheline,4.97258,0.060921,1.50E-05,0.999856,32,2,128,2,4,8,3.2,12.8,409.6,0.2,0.8,108.16,0.35,3.54993686,39.68346843
specsjeng_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc16_line_cpu1GHz_new_256cacheline,4.972141,0.060921,1.50E-05,0.999856,32,2,128,2,4,16,3.2,12.8,409.6,0.2,1.6,108.16,0.55,3.54962956,39.71331478
specsjeng_l1i128kB_l1iassoc4_l1d128kB_l1dassoc4_l24MB_l2assoc8_line_cpu1GHz_new_256cacheline,3.714677,0.030461,9.00E-06,0.999964,128,4,128,4,4,8,12.8,12.8,409.6,0.4,0.8,112,0.5,2.6648417,40.60742085
specsjeng_l1i128kB_l1iassoc4_l1d128kB_l1dassoc4_l24MB_l2assoc16_line_cpu1GHz_new_256cacheline,3.714682,0.030461,9.00E-06,0.999964,128,4,128,4,4,16,12.8,12.8,409.6,0.4,1.6,112,0.7,2.6648452,40.6374226
specsjeng_l1i128kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc8_line_cpu1GHz_new_256cacheline,4.972626,0.060921,1.30E-05,0.999881,128,2,128,2,4,8,12.8,12.8,409.6,0.2,0.8,112,0.35,3.54997038,41.02748519
specsjeng_l1i128kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc16_line_cpu1GHz_new_256cacheline,4.972338,0.060921,1.30E-05,0.999881,128,2,128,2,4,16,12.8,12.8,409.6,0.2,1.6,112,0.55,3.54976878,41.05738439
